Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080025BO,VSDB17000062,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080351BO,VSDB17000062,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJJT6010124080033BO,VSDB17000062,SW-LBA,-48,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080033BO,VSDB17000062,SW-LBA,-240,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080351BO,VSDB17000063,SW-LBA,-480,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJTS4010124080028BO,VSDB17000063,SW-LBA,-96,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
บมจ.โฮม โปรดักส์ เซ็นเตอร์ สาขาวังน้อย,Sales order,On order,1BJEG5010123180033BO,VSDB17000063,SW-LBA,-248,VNG-S,รับสินค้าที่โรงงาน,2017-04-12
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17001974,SW-LPA,-85,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-04-18
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17001975,SW-LPA,-85,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-04-19
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001977,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-06
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001980,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-04-07
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000385,SW-LMA,-136,VNG-S,หลี่หยาง - ใบชั่วคราว,2017-04-08
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17001913,SW-LPA,-140,VNG-S,โกดังสยามวู๊ด,2017-04-05
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17001999,SW-LPA,-84,VNG-S,M.K - ใบชั่วคราว,2017-04-10
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002000,SW-LPA,-70,VNG-S,ฟอร์จูน-ใบชั่วคราว,2017-04-07
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002001,SW-LPA,-70,VNG-S,ฟอร์จูน-ใบชั่วคราว,2017-04-07
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002002,SW-LPA,-70,VNG-S,ฟอร์จูน-ใบชั่วคราว,2017-04-08
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002009,SW-LPA,-70,VNG-S,ฟอร์จูน-ใบชั่วคราว,2017-04-08
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG190012302450,VSDP17002011,SW-LPA,-660,VNG-S,บางบัวทอง,2017-04-08
บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,Sales order,On order,1PB01GG180012302450,VSDP17002011,SW-LPA,-120,VNG-S,บางบัวทอง,2017-04-08
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,4MBP2FS090012302450,VSDS17000388,SW-LMA,-110,VNG-S,โกดัง 2,2017-04-08
บริษัท ย่งพงษ์เส็งรังสิต จำกัด,Sales order,On order,4MBP2FS180012302450,VSDS17000389,SW-LMA,-1,VNG-S,บริษัท ย่งพงษ์เส็งรังสิต จำกัด,2017-04-08
