Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,Column4,Column1,Column2,Column3
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17003118,SW-LPA,"-1,275.00",VNG-S,ออกแทน SO2426 **โดนลบออกไป**,2017-06-12,2017-06-12,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17003119,SW-LPA,"-1,540.00",VNG-S,ออกแทน SO2430 **โดนลบออกไป**,2017-06-12,2017-06-12,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17003121,SW-LPA,"-1,275.00",VNG-S,ออกแทน SO2429 **โดนลบไป**,2017-06-12,2017-06-12,คุณดำรงศักดิ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012301840,VSDP17003130,SW-LPA,"-1,120.00",VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-06-13,2017-06-12,คุณไกรฤกษ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17003136,SW-LPA,"-1,275.00",VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-06-12,2017-06-12,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17003138,SW-LPA,"-1,275.00",VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-06-12,2017-06-12,คุณดำรงศักดิ์
หจก.พี.เอส.ซี.เฟอร์นิเจอร์,Sales order,On order,1PB02NG150012302450,VSDP17003199,SW-LPA,"-1,050.00",VNG-S,บางน้ำเปรี้ยว,2017-06-26,2017-06-15,คุณดำรงศักดิ์
หจก.พี.เอส.ซี.เฟอร์นิเจอร์,Sales order,On order,1PB02NG150012302450,VSDP17003202,SW-LPA,"-1,050.00",VNG-S,บางน้ำเปรี้ยว,2017-06-27,2017-06-15,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003217,SW-LPA,"-1,050.00",VNG-S,รอเซลส์แจ้งส่ง,2017-06-16,2017-06-16,คุณดำรงศักดิ์
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003274,SW-LPA,-140,VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-06-23,2017-06-20,คุณประดิษฐ์
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003289,SW-LPA,"-1,050.00",VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-06-26,2017-06-20,คุณประดิษฐ์
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003290,SW-LPA,"-1,050.00",VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-06-27,2017-06-20,คุณประดิษฐ์
บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003291,SW-LPA,"-1,050.00",VNG-S,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,2017-06-28,2017-06-20,คุณประดิษฐ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012301840,VSDP17003474,SW-LPA,"-1,120.00",VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-07-03,2017-06-30,คุณไกรฤกษ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012301840,VSDP17003479,SW-LPA,"-1,120.00",VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-07-03,2017-06-30,คุณไกรฤกษ์
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003501,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-07-05,2017-07-03,คุณวิรัช
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003522,SW-LPA,"-1,050.00",VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),2017-07-03,2017-07-03,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003523,SW-LPA,"-1,050.00",VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),2017-07-03,2017-07-03,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003525,SW-LPA,"-1,050.00",VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),2017-07-03,2017-07-03,คุณวัชรชัย
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG160012302450,VSDP17003526,SW-LPA,-910,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-07-03,2017-07-03,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG160012302450,VSDP17003528,SW-LPA,-910,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-07-03,2017-07-03,คุณดำรงศักดิ์
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17003534,SW-LPA,-630,VNG-S,รับเอง-พิชัยเฟอร์ รถ 81-0874,2017-07-03,2017-07-03,คุณวัชรชัย
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB02FS150012302450,VSDP17003544,SW-LPA,-700,VNG-S,ส่งแล้ว,2017-07-04,2017-07-04,คุณไกรฤกษ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17003614,SW-LPA,"-1,650.00",VNG-S,CCF,2017-07-07,2017-07-07,คุณดำรงศักดิ์
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01S4090012302450,VSDP17003740,SW-LPA,"-1,100.00",VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),2017-07-18,2017-07-18,คุณไกรฤกษ์
บริษัท เอส.พี.เอส.โคออพเพอเรท จำกัด,Sales order,On order,1PB02GG150012302450,VSDP17003774,SW-LPA,-910,VNG-S,บริษัท เอส.พี.เอส.โคออพเพอเรท จำกัด,2017-07-22,2017-07-19,คุณสุรพงษ์
บริษัท ควอลิตี้ลามิเนเตอร์ จำกัด,Sales order,On order,1PB01GG160012302450,VSDP17003815,SW-LPA,-325,VNG-S,ส่งคลอลิตี้ คลอง 8 พร้อมไม้ MDF,2017-07-24,2017-07-24,คุณสุรพงษ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG090012302450,VSDP17003868,SW-LPA,-220,VNG-S,ส่งพระประแดง,2017-08-01,2017-07-31,คุณดำรงศักดิ์
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003875,SW-LPA,-70,VNG-S,โคราช,2017-08-03,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003878,SW-LPA,"-1,050.00",VNG-S,ปณชัย-ใบชั่วคราว,2017-08-01,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003880,SW-LPA,"-1,050.00",VNG-S,ปณชัย-ใบชั่วคราว,2017-08-02,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003881,SW-LPA,"-1,050.00",VNG-S,ปณชัย-ใบชั่วคราว,2017-08-03,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003882,SW-LPA,"-1,050.00",VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-01,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003883,SW-LPA,"-1,050.00",VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-02,2017-07-31,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003884,SW-LPA,"-1,050.00",VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-03,2017-07-31,คุณวิรัช
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17003885,SW-LPA,-42,VNG-S,M.K  วู้ดเทค,2017-08-01,2017-07-31,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17003886,SW-LPA,-42,VNG-S,M.K  วู้ดเทค,2017-08-02,2017-07-31,คุณวัชรชัย
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003891,SW-LPA,-70,VNG-S,โกดัง 2,2017-08-02,2017-07-31,คุณดำรงศักดิ์
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17003892,SW-LPA,-42,VNG-S,M.K  วู้ดเทค,2017-08-05,2017-07-31,คุณวัชรชัย
บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,Sales order,On order,1PB02NG150012302000,VSDP17003890,SW-LPA,-140,VNG-S,โคราช,2017-08-05,2017-07-31,คุณวิรัช
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003898,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-01,2017-07-31,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003901,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-02,2017-07-31,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003904,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-03,2017-07-31,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003907,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-04,2017-07-31,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003909,SW-LPA,-140,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-05,2017-07-31,คุณดำรงศักดิ์
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003913,SW-LPA,"-1,050.00",VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-08-07,2017-07-31,คุณวิรัช
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003915,SW-LPA,-420,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-08-17,2017-07-31,คุณวิรัช
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG160012302450,VSDP17003934,SW-LPA,-65,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-08-01,2017-08-01,คุณไกรฤกษ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG190012302450,VSDP17003937,SW-LPA,-110,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-08-01,2017-08-01,คุณไกรฤกษ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG190012302450,VSDP17003939,SW-LPA,-55,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-08-01,2017-08-01,คุณไกรฤกษ์
บจก.โรงเลื่อยจักรมหาชัย,Sales order,On order,1PB02NG150012302450,VSDP17003946,SW-LPA,-70,VNG-S,บจก.โรงเลื่อยจักรมหาชัย,2017-08-01,2017-08-01,คุณไกรฤกษ์
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003948,SW-LPA,-210,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-08-07,2017-08-01,คุณวิรัช
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003949,SW-LPA,"-1,050.00",VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-08-17,2017-08-01,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003952,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-08-04,2017-08-02,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003955,SW-LPA,-70,VNG-S,ปณชัย-ใบชั่วคราว,2017-08-03,2017-08-02,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003958,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-03,2017-08-02,คุณวิรัช
