Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,,,
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17002336,SW-LPA,-84.00,VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),5/3/2017,5/3/2017 12:51:12 pm,คุณวัชรชัย
บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),Sales order,On order,1PB01GG180012301980,VSDP17002338,SW-LPA,-120.00,VNG-S,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),5/3/2017,5/3/2017 12:54:37 pm,คุณไกรฤกษ์
บริษัท ย่งพงษ์เส็งรังสิต จำกัด,Sales order,On order,1PB02GG250012302450,VSDP17002348,SW-LPA,-8.00,VNG-S,พร้อม MDF,5/6/2017,5/3/2017 01:14:45 pm,คุณประดิษฐ์
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000486,SW-LMA,-136.00,VNG-S,ส่ง ลี่หยาง **รอเซลส์แจ้งวันส่ง**,5/3/2017,5/3/2017 02:42:50 pm,คุณวัชรชัย
บริษัท ที.เอ็ม.พี.วู้ด จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000487,SW-LMA,-136.00,VNG-S,ส่ง ลี่หยาง **รอเซลส์แจ้งวันส่ง**,5/3/2017,5/3/2017 02:45:30 pm,คุณวัชรชัย
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,4MBP2FS150012302450,VSDS17000488,SW-LMA,-68.00,VNG-S,ร้านสมใจเฟอร์นิเจอร์(มหาสารคาม)-ใบชั่วคราว,5/5/2017,5/4/2017 10:06:01 am,คุณวัชรชัย
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG160012302450,VSDP17002368,SW-LPA,-390.00,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,5/5/2017,5/5/2017 10:55:24 am,คุณไกรฤกษ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG090012302450,VSDP17002369,SW-LPA,-7.00,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,5/5/2017,5/5/2017 10:58:11 am,คุณไกรฤกษ์
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG090012302450,VSDP17002385,SW-LPA,-110.00,VNG-S,โกดังสยามวู๊ด,5/5/2017,5/5/2017 12:06:13 pm,คุณวิรัช
บริษัท ลานนาไม้อัดไทย จำกัด,Sales order,On order,4MBP2FS055012302450,VSDS17000492,SW-LMA,-360.00,VNG-S,โกดัง 2,5/6/2017,5/5/2017 12:21:45 pm,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002402,SW-LPA,-140.00,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,5/9/2017,5/8/2017 11:00:28 am,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002403,SW-LPA,-140.00,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,5/9/2017,5/8/2017 11:04:09 am,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002404,SW-LPA,-140.00,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,5/9/2017,5/8/2017 11:05:52 am,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002405,SW-LPA,-140.00,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,5/11/2017,5/8/2017 11:07:36 am,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002406,SW-LPA,-70.00,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,5/11/2017,5/8/2017 11:11:13 am,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002407,SW-LPA,-70.00,VNG-S,เมโทรพูนทรัพย์ (ไทรน้อย)-ใบชั่วคราว,5/11/2017,5/8/2017 11:12:54 am,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002408,SW-LPA,-70.00,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,5/9/2017,5/8/2017 11:15:13 am,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002409,SW-LPA,-70.00,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,5/9/2017,5/8/2017 11:16:47 am,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002410,SW-LPA,-140.00,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,5/11/2017,5/8/2017 11:18:22 am,คุณดำรงศักดิ์
